"ППО  (ПТО)",Термінологія загального призначення,"Протиповітряна (протитанкова) оборона",no
"ППМП  (ПТМП)",Термінологія загального призначення,"Протипіхотне (протитанкове) мінне поле",no
"ПТКР  (ПТРК)",Термінологія загального призначення,"Протитанкова керована ракета (ракетний комплекс)",no
"ІРД, РРД, ХРД, БРД",Термінологія загального призначення,"Розвідувальні дозори:(інженерний, радіаційний, хімічний, біологічний)",no
"РЗЗ",Термінологія загального призначення,"Рухомий загін загороджень",no
"РРБК(РРРК, РРВК)",Термінологія загального призначення,"Рубіж розгортання в батальйонні (ротні, взводні) колони",no
"півн., півд., сх., зах.",Термінологія загального призначення,"Північний, південний, східний, західний,",no
"півн.-зах., півн.-сх.,",Термінологія загального призначення,"північно-західний, північно-східний,",no
"півд.-зах., півд.-сх.",Термінологія загального призначення,"південно-західний,південно-східний",no
"п. рег. (р-ж рег.)",Термінологія загального призначення,"Пункт (рубіж) регулювання",no
"ПуСО",Термінологія загального призначення,"Пункт спеціальної обробки",no
"ПТС (ПТД)",Термінологія загального призначення,"Пункт технічного спостереження (допомоги)",no
"РХР",Термінологія загального призначення,"Радіаційна, хімічна розвідка",no
"РадР",Термінологія загального призначення,"Радіоактивні речовини",no
"р/н (р/м)",Термінологія загального призначення,"Радіонапрямок (радіомережа)",no
"РВК (РУК)",Термінологія загального призначення,"Розвідувально-вогневий (розвідувально-ударний) комплекс",no
"РЗ",Термінологія загального призначення,"Розвідувальний загін",no
"розмежлінія",Термінологія загального призначення,"Розмежувальна лінія",no
"РЕБ (РЕЗ)",Термінологія загального призначення,"Радіоелектронна боротьба (захист)",no
"РЕЗас",Термінологія загального призначення,"Радіоелектронні засоби",no
"р-н",Термінологія загального призначення,"Район",no
"РХЗ, РБЗ",Термінологія загального призначення,"Район хімічного, біологічного зараження",no
"РемГ (РЕГ)",Термінологія загального призначення,"Ремонтна (ремонтно-евакуаційна) група",no
"СтЗ (СтЗаст, СтП)",Термінологія загального призначення,"Сторожовий загін (застава, пост)",no
"СДМ",Термінологія загального призначення,"Система дистанційного мінування",no
"МТУ",Термінологія загального призначення,"Танковий мостоукладальник",no
"ТНН",Термінологія загального призначення,"Танконебезпечний напрямок",no
"ТО",Термінологія загального призначення,"Технічне обслуговування",no
"УР",Термінологія загального призначення,"Удаваний район",no
"ОТЦ (ОТП)",Термінологія загального призначення,"Оманна теплова ціль («пастка»)",no
"ХФ",Термінологія загального призначення,"Хімічний фугас",no
"""Ч""",Термінологія загального призначення,"Час початку дій: виходу на передній край оборони противника, викидання (висадки) десанту, початку форсування...",no
"ШЗ (ШГ)",Термінологія загального призначення,"Штурмовий загін (група)",no

БН,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Бойове навчання,no
БПАК,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Безпілотний авіаційний комплекс,no
БрТН,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Бригадне тактичне навчання,no
БС,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Бойові стрільби,no
БТГр,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Батальйонна тактична група,no
БТН,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Батальйонне тактичне навчання,no
ВБС,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Вправа бойових стрільб,no
ВВНЗ,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Вищі військові навчальні заклади,no
ВДО,"НАСТАНОВА ""З БОЙОВОЇ ПІДГОТОВКИ У ЗБРОЙНИХ СИЛАХ УКРАЇНИ""",Важливі державні об’єкти,no
